Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
Saudi Arabia,147.4,88.2,74.1,60.7,49.9,2.6,28.4,64.1,46.0,2021
Israel,144.1,70.4,68.8,73.8,86.6,13.7,35.8,58.4,93.8,2021
Singapore,143.8,83.6,67.0,70.9,85.6,19.4,41.2,33.2,57.5,2021
Italy,138.6,58.7,55.6,66.8,73.1,9.5,34.2,53.9,91.5,2021
Hungary,134.0,49.8,65.2,51.6,42.7,11.6,35.8,47.8,79.5,2021
Poland,132.6,47.1,70.7,58.3,42.0,14.0,31.3,54.3,75.9,2021
South Africa,132.2,72.9,22.9,63.9,41.7,4.0,39.3,57.0,95.3,2021
Romania,131.7,45.2,71.7,56.1,38.5,10.7,34.1,58.4,77.7,2021
South Korea,130.0,76.6,73.1,82.3,81.2,23.6,39.9,61.8,68.4,2021
Greece,129.9,38.9,55.9,57.0,61.0,10.1,33.9,51.9,94.2,2021
Bulgaria,126.3,40.3,61.9,56.1,40.9,9.0,29.4,64.5,82.8,2021
Turkey,126.0,35.3,60.5,70.7,31.5,8.2,44.6,66.2,93.3,2021
Bosnia And Herzegovina,125.7,42.6,57.0,53.5,38.6,10.7,25.9,60.7,80.5,2021
Mexico,120.3,35.5,45.0,72.5,35.1,10.5,39.0,61.2,86.6,2021
Malaysia,116.9,56.1,42.1,69.6,39.5,9.9,37.0,62.6,59.1,2021
Serbia,116.2,35.8,61.7,51.6,39.2,17.1,31.1,61.2,83.2,2021
Argentina,110.5,34.6,36.7,68.6,37.9,22.7,43.2,50.7,98.3,2021
Ukraine,107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8,2021
Pakistan,105.1,27.3,56.1,60.5,21.6,12.6,37.8,73.4,73.6,2021
Brazil,104.7,28.7,32.2,57.3,31.8,16.1,41.7,54.5,92.4,2021
India,104.5,47.1,55.3,66.2,25.2,11.3,46.7,79.6,65.3,2021
China,103.1,57.5,69.8,66.4,42.5,29.0,40.9,81.5,80.2,2021
Russia,101.7,34.6,59.9,58.4,33.2,11.1,44.6,62.3,38.5,2021
Colombia,101.3,26.1,44.2,66.7,31.0,18.7,47.3,62.9,88.3,2021
Thailand,100.3,31.4,60.6,78.1,49.3,22.2,39.2,75.4,69.4,2021
Chile,99.9,33.3,47.9,63.7,49.3,17.6,35.6,79.0,90.2,2021
Hong Kong,99.3,62.4,78.3,66.3,79.9,45.2,42.3,67.3,83.6,2021
Indonesia,90.1,20.9,53.8,60.5,37.4,22.0,43.4,67.1,68.5,2021
Egypt,86.3,20.0,53.2,46.2,30.1,13.6,49.1,84.3,92.0,2021
Philippines,78.4,19.7,57.8,67.1,40.7,30.1,44.0,74.1,61.0,2021
Iran,64.7,19.0,50.8,52.2,41.3,34.2,47.4,76.1,71.0,2021
