Country,Quality_of_Life_Index,Purchasing_Power_Index,Cost_of_Living_Index,Property_Price_to_Income_Ratio,Year,GDP_Per_Capita,ISO3
Philippines,56.9,36.0,34.7,16.9,2017,48987.318079018325,PHL
Singapore,86.5,92.7,82.4,21.6,2017,1876.334912898184,SGP
South Africa,144.7,99.0,43.1,3.6,2017,76134.23339273687,ZAF
Spain,183.6,87.9,55.0,8.3,2017,3038.12126203148,ESP
Sweden,172.7,107.2,75.9,11.8,2017,61251.31816182993,SWE
Switzerland,173.5,95.3,122.1,14.0,2017,6612.920015366049,CHE
Thailand,57.2,34.3,43.7,24.4,2017,28201.273381836265,THA
United Arab Emirates,139.3,116.8,68.0,5.6,2017,53299.98962291227,ARE
United States,179.7,123.2,75.4,3.3,2017,82236.97956504578,USA
Argentina,131.8,60.2,53.7,10.7,2018,6413.091814592377,ARG
Australia,188.7,123.0,84.3,7.4,2018,42289.68759895658,AUS
Austria,190.2,98.7,81.5,9.6,2018,59036.203766678045,AUT
Belgium,164.0,98.9,83.3,7.1,2018,11752.800031712017,BEL
Brazil,100.1,41.6,51.3,16.3,2018,57920.5503561895,BRA
Canada,173.9,118.9,72.5,6.1,2018,51187.5379564637,CAN
Chile,122.7,54.5,55.2,13.1,2018,47480.76545019374,CHL
Colombia,112.1,38.6,35.3,18.1,2018,9300.660729147616,COL
Croatia,162.4,59.8,55.1,11.1,2018,46260.89347825059,HRV
Denmark,197.7,117.5,93.3,7.2,2018,15635.40251184956,DNK
Finland,195.3,119.4,81.7,7.5,2018,15567.591185351235,FIN
France,166.2,101.2,83.9,9.9,2018,61322.77661737615,FRA
Germany,190.0,125.0,74.3,8.0,2018,23618.35051663556,DEU
India,122.1,79.3,26.9,9.7,2018,49652.35022054597,IND
Indonesia,112.9,37.5,39.7,13.1,2018,41082.91201994004,IDN
Ireland,163.5,96.1,85.4,7.6,2018,48603.587736441405,IRL
Israel,152.2,102.3,86.5,13.9,2018,2010.342091694687,ISR
Japan,176.0,107.4,86.6,12.6,2018,3860.953530776596,JPN
Lithuania,149.0,57.3,53.2,13.0,2018,81160.93821403196,LTU
Malaysia,116.0,73.0,44.7,9.6,2018,44219.2952307588,MYS
Mexico,126.4,58.2,33.6,7.8,2018,39719.04990580398,MEX
Netherlands,191.3,109.5,82.7,6.7,2018,19362.07711480206,NLD
Norway,176.3,108.0,113.7,8.7,2018,10901.804373615509,NOR
Philippines,99.1,34.0,36.0,17.8,2018,10084.793930881904,PHL
Singapore,150.5,95.9,91.4,22.2,2018,53367.69742503682,SGP
South Africa,137.9,99.8,48.1,3.5,2018,2057.871385720265,ZAF
Spain,174.9,90.7,61.8,8.0,2018,82795.3989350029,ESP
Sweden,176.8,113.0,83.7,10.5,2018,3168.510368860292,SWE
Switzerland,190.8,126.1,131.4,10.9,2018,66891.74790075797,CHE
Thailand,101.2,38.6,48.9,22.8,2018,6914.177820530837,THA
United Arab Emirates,163.5,124.8,67.2,4.9,2018,30400.44700925927,ARE
United States,180.6,127.6,73.0,3.3,2018,54180.88994297166,USA
Argentina,122.5,55.0,33.1,19.0,2019,85196.48036339242,ARG
Australia,191.1,122.9,72.1,7.6,2019,7099.775256401084,AUS
Austria,191.1,96.7,71.8,10.1,2019,45689.03263447304,AUT
Belgium,162.1,95.1,73.0,7.2,2019,61650.84451414175,BEL
Brazil,100.3,37.4,42.8,18.7,2019,9955.974855731076,BRA
Canada,170.3,109.4,65.0,7.7,2019,54059.5316281432,CAN
Chile,124.1,54.1,47.7,13.5,2019,49880.624655927466,CHL
Colombia,108.4,34.7,30.1,18.8,2019,46709.96324179254,COL
Croatia,165.3,60.3,49.2,11.6,2019,9029.833044123294,HRV
Denmark,198.6,114.4,81.4,6.9,2019,46151.131024429975,DNK
Finland,194.0,112.3,72.8,8.0,2019,6472.545449606256,FIN
France,157.8,91.6,74.9,12.9,2019,15670.321267910416,FRA
Germany,187.0,116.2,67.6,9.0,2019,59402.26391701315,DEU
India,117.5,66.9,24.2,11.3,2019,24022.626071945408,IND
Indonesia,107.2,33.0,36.2,13.8,2019,48356.84084173296,IDN
Ireland,160.8,95.1,75.3,7.9,2019,40089.93599850146,IRL
Israel,153.8,92.5,74.3,14.0,2019,47358.14510227049,ISR
Japan,180.5,103.1,83.3,11.2,2019,2055.246115974628,JPN
Lithuania,156.4,60.3,45.9,11.1,2019,4106.948561735544,LTU
Malaysia,122.1,73.1,39.4,9.8,2019,82522.66479557542,MYS
Mexico,123.5,50.0,32.7,10.2,2019,46311.49826452134,MEX
Netherlands,188.9,102.5,74.8,7.4,2019,40394.7681168346,NLD
Norway,181.9,103.6,101.0,8.4,2019,19721.26024783565,NOR
Philippines,90.7,29.5,35.1,21.8,2019,10920.194236546353,PHL
Singapore,156.9,103.8,69.8,21.6,2019,10369.555179094832,SGP
South Africa,135.3,83.0,42.5,4.1,2019,52966.650595004896,ZAF
Spain,174.2,83.8,54.7,9.2,2019,2265.1496127346204,ESP
Sweden,178.7,111.4,71.6,10.3,2019,76432.96144515353,SWE
Switzerland,195.9,129.7,121.2,9.6,2019,3400.789520533981,CHE
Thailand,103.3,40.9,47.5,21.9,2019,66478.06138254215,THA
United Arab Emirates,167.8,119.6,56.2,4.4,2019,6533.711185479011,ARE
United States,179.2,122.0,69.9,3.6,2019,29587.70668808161,USA
Argentina,115.3,47.2,33.0,24.5,2020,51771.84771718797,ARG
Australia,186.2,107.3,73.5,7.5,2020,84105.49518763124,AUS
Austria,182.5,82.4,70.4,10.9,2020,7605.694380087539,AUT
Belgium,153.5,86.3,71.8,6.9,2020,44572.0346828556,BEL
Brazil,105.6,32.8,40.2,16.4,2020,63767.41681986759,BRA
Canada,163.5,95.1,67.6,8.0,2020,8535.599420375158,CAN
Chile,119.8,42.5,43.6,14.9,2020,55758.83456167612,CHL
Colombia,105.8,31.1,30.7,19.7,2020,48691.613210888725,COL
Croatia,159.0,50.4,49.7,13.7,2020,45900.30868013462,HRV
Denmark,192.7,100.9,83.0,7.5,2020,7074.194074939664,DNK
Finland,190.2,99.9,70.3,8.3,2020,13106.454618360907,FIN
France,153.9,80.4,74.1,13.0,2020,5339.687113097511,FRA
Germany,179.8,102.4,65.3,9.4,2020,14620.62110239314,DEU
India,108.6,54.3,24.6,11.4,2020,60984.17086624283,IND
Indonesia,97.5,25.1,37.3,18.9,2020,23931.347947419108,IDN
Ireland,153.5,80.9,75.9,7.5,2020,48828.07538869306,IRL
Israel,149.9,78.1,81.2,12.8,2020,38880.53492990158,ISR
Japan,168.0,87.3,83.3,13.0,2020,47114.71258594631,JPN
Lithuania,159.4,57.8,44.3,10.9,2020,1910.2716682271507,LTU
Malaysia,118.4,64.5,39.1,9.9,2020,3853.702887789637,MYS
Mexico,118.5,41.8,35.7,10.7,2020,87615.90187954728,MEX
Netherlands,183.7,90.7,73.7,7.5,2020,46952.10667895639,NLD
Norway,175.2,88.4,101.4,8.8,2020,20535.35920696867,NOR
Philippines,85.4,23.5,37.6,24.6,2020,9957.527013691048,PHL
Singapore,144.4,89.0,81.1,22.3,2020,8841.270613232917,SGP
South Africa,132.0,73.6,42.9,3.9,2020,52876.060858509096,ZAF
Spain,169.8,72.0,53.8,9.4,2020,2008.9044347897216,ESP
Sweden,175.9,101.7,69.8,9.3,2020,68342.57167168419,SWE
Switzerland,192.0,119.5,122.4,8.7,2020,3227.579102183092,CHE
Thailand,101.9,35.5,49.8,22.3,2020,62184.90023290315,THA
United Arab Emirates,156.7,91.6,62.0,5.3,2020,5585.8340347679405,ARE
United States,172.1,109.5,71.1,3.5,2020,27051.125421482346,USA
Argentina,110.5,34.6,37.9,22.7,2021,52652.51572938764,ARG
Australia,181.5,99.3,84.1,7.4,2021,85862.49678111069,AUS
Austria,182.4,78.2,75.5,10.4,2021,6985.645229495111,AUT
Belgium,150.9,76.5,78.5,6.9,2021,36987.04848894536,BEL
Brazil,104.7,28.7,31.8,16.1,2021,62910.50447574738,BRA
Canada,160.0,82.8,70.1,7.5,2021,10738.017960020292,CAN
